Campaign,Ad Group,Negative Keyword,Match Type
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free van diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""free vehicle diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""how much do mercedes charge for a diagnostic test""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does it cost to diagnose a Mercedes?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does it cost to run a diagnostic test?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does Mercedes charge for a diagnostic test?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much is a diagnostic at Kwik Fit?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much is a diagnostic on a van?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes diagnostics and repair centre""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Van diagnostics near me open now""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""vehicle diagnostics near me open now""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Why are Mercedes diagnostics so expensive?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,"""How much do RAC mobile mechanics charge?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""How much does it cost to service a Mercedes Sprinter?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""How much is a Mercedes Sprinter service?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""How much is a service on a Mercedes Sprinter?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""How often should a Mercedes Sprinter van be serviced?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,"""Is it cheaper to use a mobile mechanic?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service intervals""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""Mercedes Sprinter service intervals uk""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service kit""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service light reset""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service reset""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service reset 2013""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service reset 2017""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,"""Mercedes-Benz Vans Service Intervals""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,"""sprinter mobile care san diego""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,"""sprinter mobile care san diego reviews""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""sprinter service center near me""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""What is included in Mercedes Sprinter Service A?""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""What is the difference between Sprinter Service A and B?""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""How to increase MPG on a van?""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""How to tune a diesel engine for fuel economy?""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""Is an economy remap worth it?""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""Remap calculator stage 2""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""What is an economy tune?""",Phrase
