campaign_family,ad_group_theme,keyword_candidate,recommended_match_type,notes
Diagnostics & VOR,Standard Diagnosis,Auto Mobile | mobile mechanic | Sittingbourne,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Book a Car Diagnostic for your Mercedes,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Book a Car Diagnostic in Maidstone,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Can Halfords do a diagnostic check?,phrase,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,Canterbury Mobile Mechanics & Garages,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,cheap vehicle diagnostics near me,phrase,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,Cheapest van diagnostics near me,phrase,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,cheapest vehicle diagnostics near me,phrase,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,Do mobile mechanics charge a call out fee?,phrase,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,"Expert car diagnostics in Ashford, Kent",phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Is Halfords Mercedes approved?,phrase,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,Mercanix mobile Mercedes-Benz specialists - 01344 851586,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes and Smart Diagnostics,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes Ashford,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic centre near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic check cost,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic cost near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic cost UK,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic test near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostics in Kent,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near maidstone,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes independent specialist near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes specialist gravesend,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes specialist Kent,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mercedes-Benz Authorised Repairer near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mobile Mechanic Maidstone Kent,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mobile mechanic near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes mechanic reviews,phrase,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes Mechanic Reviews 116,phrase,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes star diagnostic,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mobile Technician,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Mobile Van Service | Mobile Workshop,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Paul mobile Mercedes mechanic,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,Service and Repair,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near kent,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me prices,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me within 5 mi,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,vehicle electrical diagnostics near me,phrase,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,what causes mercedes check engine light,phrase,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,24 hour mobile sprinter service,phrase,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,dodge sprinter service near me,phrase,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,expert mercedes-benz servicing & repairs in kent,phrase,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,freightliner sprinter service near me,phrase,Elevated risk or weak fit; manual review suggested.
