campaign_family,ad_group_theme,keyword_candidate,negative_level,reason
Diagnostics & VOR,Standard Diagnosis,Free van diagnostics near me,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,free vehicle diagnostics near me,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,how much do mercedes charge for a diagnostic test,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does it cost to diagnose a Mercedes?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does it cost to run a diagnostic test?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does Mercedes charge for a diagnostic test?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much is a diagnostic at Kwik Fit?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much is a diagnostic on a van?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics and repair centre,ad_group,Matched risk phrase: 'repair centre'.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me open now,ad_group,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,Why are Mercedes diagnostics so expensive?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,Denver Sprinter Van Repair Services,ad_group,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much does it cost to service a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much is a Mercedes Sprinter service?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much is a service on a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How often should a Mercedes Sprinter van be serviced?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,Is it cheaper to use a mobile mechanic?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service intervals,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,Mercedes Sprinter service intervals uk,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service kit,ad_group,Matched risk phrase: 'service kit'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service light reset,ad_group,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset 2013,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset 2017,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Mercedes Van Servicing,Mercedes-Benz Vans Service Intervals | Van Servicing,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Mercedes Van Servicing,Service Intervals | Mercedes-Benz Vans | Rygor Auto,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter mobile care san diego,ad_group,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter mobile care san diego reviews,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service center near me,ad_group,Matched risk phrase: 'service center'.
Mercedes Van Servicing,Sprinter Servicing,What is included in Mercedes Sprinter Service A?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,What is the difference between Sprinter Service A and B?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How to tune a diesel engine for fuel economy?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Is an economy remap worth it?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Remap calculator stage 2,ad_group,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,What is an economy tune?,campaign,High negative-risk score or policy/junk signals.
