Campaign,Ad Group,Negative Keyword,Match Type
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""auto diagnostic near denver co""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""auto diagnostic near me free""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""auto diagnostics near me open now""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""car diagnostics near me open now""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Check Engine Light: What It Means & How to Respond""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Compare Prices to Book Your Car Diagnostic Test""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Engine management light reset""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free auto diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free car diagnostic check""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Pre-Purchase Van Check,"""Free pre purchase van check""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free Repairs Check | Halfords UK""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free van diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Free vehicle diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Halfords free diagnostic check""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much do Halfords charge for a diagnostic check?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""how much do mercedes charge for a diagnostic test""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does a car diagnostic normally cost?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does a no start diagnosis cost?""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""How much does an auto electrician get?""",Phrase
