campaign_family,ad_group_theme,keyword_candidate,negative_level,reason
Diagnostics & VOR,Standard Diagnosis,auto diagnostic near denver co,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,auto diagnostic near me free,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,auto diagnostics near me open now,ad_group,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,car diagnostics near me open now,ad_group,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,Check Engine Light: What It Means & How to Respond,ad_group,Matched risk phrase: 'how to'.
Diagnostics & VOR,Standard Diagnosis,Compare Prices to Book Your Car Diagnostic Test,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Engine management light reset,ad_group,Matched risk phrase: 'light reset'.
Diagnostics & VOR,Standard Diagnosis,Free auto diagnostics near me,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Free car diagnostic check,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Pre-Purchase Van Check,Free pre purchase van check,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Free Repairs Check | Halfords UK,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Free van diagnostics near me,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Free vehicle diagnostics near me,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Halfords free diagnostic check,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much do Halfords charge for a diagnostic check?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,how much do mercedes charge for a diagnostic test,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does a car diagnostic normally cost?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does a no start diagnosis cost?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does an auto electrician get?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does Halfords charge for a diagnostic check?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does it cost to diagnose a Mercedes?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does it cost to have a diagnostic test on your car?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does it cost to run a diagnostic test?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much does Mercedes charge for a diagnostic test?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much is a diagnostic at Kwik Fit?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much is a diagnostic on a van?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much should a car diagnostic check cost?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much should a diagnostic check cost?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much should car diagnostics cost?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How much to call out an auto electrician?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to check a used van before buying?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to check a vehicle before you buy it?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,how to check malfunction indicator light,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to check pre-delivery inspection?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,how to clean dpf filter mercedes sprinter,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to diagnose a vehicle that won't start?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to diagnosis a vehicle?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to fix AdBlue Mercedes warning?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to fix amber engine warning light,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to fix DPF problems in Mercedes?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to fix phone yourself,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to force DPF regeneration Mercedes c Class,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to force DPF regeneration Mercedes Sprinter,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,how to get a car diagnostic,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Limp Mode / Derate,How to get a Mercedes out of limp mode?,campaign,High negative-risk score or policy/junk signals.
