campaign_family,ad_group_theme,keyword_candidate,recommended_match_type,reason
Diagnostics & VOR,Limp Mode / Derate,sprinter brief power loss diagnostics,Phrase,Specific Mercedes Sprinter fault symptom; high relevance for diagnostics but could be informational.
Diagnostics & VOR,AdBlue / DPF / NOx,adblue system fault 1 start remaining,Exact,"Specific 'no start' countdown indicates urgent VOR diagnostic need, though model is missing."
Diagnostics & VOR,Standard Diagnosis,mobile mechanic sittingbourne,Phrase,Duplicate of previous row; strong local/mobile intent for Kent area. [deduped_rewrite_merge]
Diagnostics & VOR,Standard Diagnosis,van engine light diagnostic,Phrase,"While informational, it indicates a live problem with a van. Could be captured with an ad offering mobile diagnostics to solve the uncertainty."
Diagnostics & VOR,AdBlue / DPF / NOx,dpf fault diagnostic,Phrase,"Indicates a current DPF issue. High relevance to TriPoint's DPF services, even if the query is phrased as a question."
Diagnostics & VOR,Standard Diagnosis,mobile van diagnostic check,Phrase,"Matches mobile/at-home service model, though 'car' is less specific than 'van'. Good for capturing local mobile intent."
Diagnostics & VOR,VOR / Urgent Van Diagnostics,van not starting but battery is fine,Phrase,High intent for mobile diagnostic/repair service for non-starts.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,van won t start but has power,Phrase,Clear VOR/breakdown intent suitable for mobile diagnostics.
Diagnostics & VOR,Standard Diagnosis,diagnostics medwayvanrepairs,Exact,"Medway is in Kent (target area), but query looks like a competitor brand or specific URL search."
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes adblue countdown repair,Phrase,Specific symptom of Mercedes derate/limp mode; high intent for urgent repair.
Diagnostics & VOR,Standard Diagnosis,expert car diagnostics in ashford kent,Phrase,"Correct geography (Kent) and service, but 'car' is less targeted than 'van'. Worth testing for local reach."
Mercedes Van Servicing,Mercedes Van Servicing,mercedes-benz servicing repairs kent,Phrase,"Duplicate of previous row; high intent, specific to Mercedes, service-oriented, and matches the target geography (Kent). [deduped_rewrite_merge]"
Diagnostics & VOR,Limp Mode / Derate,mercedes limp mode diagnostics,Phrase,Informational query but specific to Mercedes and indicates a problem the business solves. High relevance for capturing users in need of urgent diagnostics. [deduped_rewrite_merge]
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic check cost,Phrase,High intent but price-sensitive; good for capturing leads researching costs.
